Page: PH_10_271, Center column idx: 17, col_no: 18, chars: 華嚴經探玄記卷六十地品第二十二十法雲地方便作滿足地分得三昧分二○三
Page: PH_10_272, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二十法雲地得三昧分二○四
Page: PH_10_273, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二十法雲地得三昧分受位分二○五
Page: PH_10_274, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二十法雲地受位分隨何等座二○六
Page: PH_10_275, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二十法雲地受位分隨何等座隨何等身隨何眷屬隨何等相二七
Page: PH_10_276, Center column idx: 0, col_no: 1, chars: 華版經探玄記卷六十地品第二十二十法雲地受位分隨何等相二〇八
Page: PH_10_277, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二十法雲地受位分隨何等相隨何出處二〇九
Page: PH_10_278, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二十法雲地受位分隨何出處三〇
Page: PH_10_279, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二十法雲地受位分隨所得位三二
Page: PH_10_28, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷五十地品第二十二三明地厭分四空一二二
