page,issue_type,obj_id,detail
HN_5_4_253,CHAR_MISSING_COLUMN,b1c413c2,expected column b1c413
HN_5_4_253,CHAR_MISSING_COLUMN,b1c413c3,expected column b1c413
HN_5_4_253,CHAR_MISSING_COLUMN,b1c413c4,expected column b1c413
HN_5_4_253,CHAR_MISSING_COLUMN,b1c413c85,expected column b1c413
HN_5_4_253,CHAR_MISSING_COLUMN,b1c413c86,expected column b1c413
HN_5_4_253,CHAR_MISSING_COLUMN,b1c413c87,expected column b1c413
HN_5_4_253,CHAR_MISSING_COLUMN,b1c418c1,expected column b1c418
HN_5_4_253,CHAR_MISSING_COLUMN,b1c418c2,expected column b1c418
HN_5_4_253,CHAR_MISSING_COLUMN,b1c418c3,expected column b1c418
HN_5_4_253,CHAR_MISSING_COLUMN,b1c418c88,expected column b1c418
HN_5_4_253,CHAR_MISSING_COLUMN,b1c418c89,expected column b1c418
HN_5_4_253,CHAR_MISSING_COLUMN,b1c418c90,expected column b1c418
HN_5_4_253,CHAR_MISSING_COLUMN,b1c418c91,expected column b1c418
HN_5_4_253,CHAR_MISSING_COLUMN,b1c418c92,expected column b1c418
HN_5_4_253,CHAR_MISSING_COLUMN,b1c422c1,expected column b1c422
HN_5_4_253,CHAR_MISSING_COLUMN,b1c422c2,expected column b1c422
HN_5_4_253,CHAR_MISSING_COLUMN,b1c422c93,expected column b1c422
HN_5_4_253,CHAR_MISSING_COLUMN,b1c422c94,expected column b1c422
HN_5_4_253,CHAR_MISSING_COLUMN,b1c422c95,expected column b1c422
HN_5_4_253,CHAR_MISSING_COLUMN,b1c422c96,expected column b1c422
HN_5_4_253,CHAR_MISSING_COLUMN,b1c426c1,expected column b1c426
HN_5_4_253,CHAR_MISSING_COLUMN,b1c426c2,expected column b1c426
HN_5_4_253,CHAR_MISSING_COLUMN,b1c426c3,expected column b1c426
